ID,item,prompt,response,jrt,text,label
91904-study_3-1460,11,11,what gas is on that planet/will we be able to breath properly,2.8060844,A creative research question for a new planet outside of our galaxy is what gas is on that planet/will we be able to breath properly,0.50045246
92410-study_3-1284,11,11,I would take samples of soil for test,4.4472213,A creative research question for a new planet outside of our galaxy is i would take samples of soil for test,0.7931417
115-study_4-18555,7,7,There is no human life now was there any human life before?,2.708099,A creative research question for a jungle containing no human life is there is no human life now was there any human life before?,0.48297718
91175-study_3-65,10,10,Does the power from the vechile have any affect on the ocean floor and the species living in it,4.3962526,A creative research question for an unexplored part of the ocean floor is does the power from the vechile have any affect on the ocean floor and the species living in it,0.7840517
91192-study_3-1918,7,7,What happened to all life in the jungle,2.7280455,A creative research question for a jungle containing no human life is what happened to all life in the jungle,0.48653457
45-study_1-1701,0,0,see whether birds understand language in a lab setting,1.5003335,A creative experiment for testing bird's understanding of human speech is see whether birds understand language in a lab setting,0.26757768
28-study_1-1018,0,0,by telling the bird to blink,2.081476,A creative experiment for testing bird's understanding of human speech is by telling the bird to blink,0.3712218
93914-study_3-2803,14,14,"If the stars are disappearing one by one, then there's an issue in outerspace",1.5807266,"A creative hypothesis for why stars disappear from the sky is if the stars are disappearing one by one, then there's an issue in outerspace",0.28191546
92284-study_3-1595,11,11,Who lives on this planet,2.0298264,A creative research question for a new planet outside of our galaxy is who lives on this planet,0.36201036
93076-study_3-5836,4,4,You could set up an experiment that tests to see if students go out of their way to show an act of kindness. This could be having people put on a fakebullying scenario to see if anyone steps in and stops it.,2.8746774,A creative experiment for testing friendliness at different schools is you could set up an experiment that tests to see if students go out of their way to show an act of kindness. this could be having people put on a fakebullying scenario to see if anyone steps in and stops it.,0.5126857
15-study_1-513,4,4,"have a disabled student to join the school, see if the students are friendly to help",3.09389,"A creative experiment for testing friendliness at different schools is have a disabled student to join the school, see if the students are friendly to help",0.55178124
143-study_1-5560,10,10,is it smooth,1.8628387,A creative research question for an unexplored part of the ocean floor is is it smooth,0.33222887
93896-study_3-3179,14,14,we are getting farther away from the stars,2.3949544,A creative hypothesis for why stars disappear from the sky is we are getting farther away from the stars,0.42712927
33-study_2-6401,11,11,how far from earth is this planet,2.2444065,A creative research question for a new planet outside of our galaxy is how far from earth is this planet,0.4002797
93076-study_3-3137,14,14,There is an astroid in the sky,3.1010604,A creative hypothesis for why stars disappear from the sky is there is an astroid in the sky,0.55306005
67-study_2-6932,7,7,"what wildlife, as in plants and organisms, live there",1.9676902,"A creative research question for a jungle containing no human life is what wildlife, as in plants and organisms, live there",0.35092863
112-study_1-4292,12,12,can they communicate with humans?,3.1439645,A creative research question for a robot that can learn and think like humans is can they communicate with humans?,0.56071186
dupe_average,11,11,What are the conditions like?,2.3143444,A creative research question for a new planet outside of our galaxy is what are the conditions like?,0.41275284
94850-study_3-5377,4,4,ask to be their friends,1.4455901,A creative experiment for testing friendliness at different schools is ask to be their friends,0.25781447
136-study_2-7965,1,1,do they work together? do they have a leader? do they treat people differently within the island?,3.943029,A creative research question for a remote island with nonverbal communication is do they work together? do they have a leader? do they treat people differently within the island?,0.7032214
117-study_2-7667,8,8,there might be more human activity in that lake,3.1987917,A creative hypothesis for why water is warmer in one lake than another is there might be more human activity in that lake,0.57049
179-study_2-8614,2,2,if a person has food then a dog is more likely to like them better,3.5055904,A creative hypothesis for why dogs like one friend and cats like another is if a person has food then a dog is more likely to like them better,0.6252062
92403-study_3-3601,2,2,the friend is more inclined to a specific animal,3.459091,A creative hypothesis for why dogs like one friend and cats like another is the friend is more inclined to a specific animal,0.6169132
92257-study_3-5553,4,4,I can test this hypothesis by questioning students at other schools to observe their friendliness.,2.0538101,A creative experiment for testing friendliness at different schools is i can test this hypothesis by questioning students at other schools to observe their friendliness.,0.3662877
170-study_2-8484,11,11,how would you describe this new planet?,2.6863708,A creative research question for a new planet outside of our galaxy is how would you describe this new planet?,0.47910208
7-study_1-213,4,4,examine the reported bully in schools and see if my school is significantly low.,3.09389,A creative experiment for testing friendliness at different schools is examine the reported bully in schools and see if my school is significantly low.,0.55178124
94511-study_3-167,10,10,how long can the vehicle last underwater,2.8608987,A creative research question for an unexplored part of the ocean floor is how long can the vehicle last underwater,0.51022834
10-study_4-15720,11,11,Am I the only one who knows about this planet?,1.8775431,A creative research question for a new planet outside of our galaxy is am i the only one who knows about this planet?,0.33485132
35-study_1-1281,6,6,"i would test this hypothesis by seeing if i can observe pleasure in animals when they are interacting with one another. here, we would be able to see if animals can enjoy one another's company. this would prove if they have a sense of humor.",2.641375,"A creative experiment for testing if animals have a sense of humor is i would test this hypothesis by seeing if i can observe pleasure in animals when they are interacting with one another. here, we would be able to see if animals can enjoy one another's company. this would prove if they have a sense of humor.",0.4710773
106-study_2-7500,6,6,we can scan their brain before playing and after. also when with another animal and alone,3.4380517,A creative experiment for testing if animals have a sense of humor is we can scan their brain before playing and after. also when with another animal and alone,0.61316097
93896-study_3-2653,13,13,you go to a musical prodigy school,2.1917717,A creative hypothesis for why students sing in hallways at a new school is you go to a musical prodigy school,0.39089257
115-study_4-18557,7,7,what is the climate like here?,2.3143444,A creative research question for a jungle containing no human life is what is the climate like here?,0.41275284
34-study_1-1233,0,0,try to draw them in with other birds,2.081476,A creative experiment for testing bird's understanding of human speech is try to draw them in with other birds,0.3712218
43-study_4-16614,7,7,is there freshwater,1.8897328,A creative research question for a jungle containing no human life is is there freshwater,0.33702528
73-study_2-7027,13,13,should I start singing to fit in?,1.8474203,A creative hypothesis for why students sing in hallways at a new school is should i start singing to fit in?,0.32947904
80-study_4-17639,11,11,Why has this planet taken so long to find?,3.4495916,A creative research question for a new planet outside of our galaxy is why has this planet taken so long to find?,0.61521906
36-study_1-1343,11,11,is this planet known at all?,2.391092,A creative research question for a new planet outside of our galaxy is is this planet known at all?,0.42644045
89-study_1-3397,12,12,does this robot have preferences and interests?,4.1051846,A creative research question for a robot that can learn and think like humans is does this robot have preferences and interests?,0.7321411
91635-study_3-1627,7,7,are there different species living here,1.2849739,A creative research question for a jungle containing no human life is are there different species living here,0.22916926
93560-study_3-3593,2,2,the dogs and cats are pulled in by different personality types and attitudes,2.1809263,A creative hypothesis for why dogs like one friend and cats like another is the dogs and cats are pulled in by different personality types and attitudes,0.3889583
143-study_1-5556,7,7,how much precipitation does it get,3.1213825,A creative research question for a jungle containing no human life is how much precipitation does it get,0.55668443
107-study_1-4057,14,14,these stars may not be stars and instead human made modes of space travel,4.197448,A creative hypothesis for why stars disappear from the sky is these stars may not be stars and instead human made modes of space travel,0.74859583
93396-study_3-1272,11,11,how much time does it take to get there,2.8060844,A creative research question for a new planet outside of our galaxy is how much time does it take to get there,0.50045246
5-study_4-15618,11,11,Are their any other life forms inhabiting this planet?,2.3143444,A creative research question for a new planet outside of our galaxy is are their any other life forms inhabiting this planet?,0.41275284
63-study_2-6863,1,1,has society evolved on this island? and how?,2.2444065,A creative research question for a remote island with nonverbal communication is has society evolved on this island? and how?,0.4002797
24-study_1-884,8,8,the species of animals in there may change the water environment,2.7893536,A creative hypothesis for why water is warmer in one lake than another is the species of animals in there may change the water environment,0.49746856
59-study_2-6804,1,1,do they use vocals at all,2.2444065,A creative research question for a remote island with nonverbal communication is do they use vocals at all,0.4002797
93034-study_3-1064,11,11,,1.3598043,nan,0.24251492
117-study_1-4487,9,9,put the cousin in a sound proof room and see if they can still do it,3.9552271,A creative experiment for testing mind-reading abilities is put the cousin in a sound proof room and see if they can still do it,0.70539683
129-study_1-4951,4,4,place students from your school in other schools,2.5893493,A creative experiment for testing friendliness at different schools is place students from your school in other schools,0.46179873
107-study_2-7528,7,7,what does the jungle look like under a microscope,2.995658,A creative research question for a jungle containing no human life is what does the jungle look like under a microscope,0.534262
43-study_1-1655,12,12,what processes does the robot go through,2.3243515,A creative research question for a robot that can learn and think like humans is what processes does the robot go through,0.41453758
93953-study_3-1287,11,11,"if there is any lviing creatures, do they know about earth",2.8060844,"A creative research question for a new planet outside of our galaxy is if there is any lviing creatures, do they know about earth",0.50045246
93120-study_3-1435,11,11,What components is the planet made of,3.2189233,A creative research question for a new planet outside of our galaxy is what components is the planet made of,0.5740804
94089-study_3-3459,2,2,my one friend likes dogs more and the other likes cats more,2.521441,A creative hypothesis for why dogs like one friend and cats like another is my one friend likes dogs more and the other likes cats more,0.44968757
91384-study_3-646,1,1,does the way they communicate differ between different groups of people,3.4865618,A creative research question for a remote island with nonverbal communication is does the way they communicate differ between different groups of people,0.6218125
92128-study_3-3073,14,14,the starts are moving at a fast pace,2.3949544,A creative hypothesis for why stars disappear from the sky is the starts are moving at a fast pace,0.42712927
91435-study_3-1170,11,11,does it have the same basic elements we do,4.0096126,A creative research question for a new planet outside of our galaxy is does it have the same basic elements we do,0.71509624
90936-study_3-692,1,1,How did these specific people end up on this remote island,2.3913717,A creative research question for a remote island with nonverbal communication is how did these specific people end up on this remote island,0.4264903
109-study_1-4152,7,7,is this jungle habitable?,2.3122728,A creative research question for a jungle containing no human life is is this jungle habitable?,0.4123834
99-study_1-3743,14,14,the stars are starting to burn out,2.3492498,A creative hypothesis for why stars disappear from the sky is the stars are starting to burn out,0.4189781
85-study_1-3186,6,6,"observe animals' behaviors and emotion expression, see if anything works similar to 'humor'",2.081476,"A creative experiment for testing if animals have a sense of humor is observe animals' behaviors and emotion expression, see if anything works similar to 'humor'",0.3712218
93564-study_3-1270,11,11,how much oxygen is in the atmosphere,3.1908524,A creative research question for a new planet outside of our galaxy is how much oxygen is in the atmosphere,0.5690741
155-study_2-8235,2,2,the cat is familiar with the person maybe having a cat as a pet or feels the person positive energy. The dog is just wanting to receive attention from the friend.,1.9676902,A creative hypothesis for why dogs like one friend and cats like another is the cat is familiar with the person maybe having a cat as a pet or feels the person positive energy. the dog is just wanting to receive attention from the friend.,0.35092863
82-study_1-3106,2,2,the cat probably likes calmer people,3.5318172,A creative hypothesis for why dogs like one friend and cats like another is the cat probably likes calmer people,0.6298836
92267-study_3-172,10,10,How many animals live there,2.1296096,A creative research question for an unexplored part of the ocean floor is how many animals live there,0.37980622
150-study_1-5795,1,1,how are you going to go about interacting with them?,2.9101875,A creative research question for a remote island with nonverbal communication is how are you going to go about interacting with them?,0.51901877
181-study_2-8647,13,13,more students sing at the new school because they are happier,2.7355237,A creative hypothesis for why students sing in hallways at a new school is more students sing at the new school because they are happier,0.48786828
90700-study_3-2136,13,13,"At this school, people are secure in themselves, so they are not embarassed about singing in the hallways.",3.7752926,"A creative hypothesis for why students sing in hallways at a new school is at this school, people are secure in themselves, so they are not embarassed about singing in the hallways.",0.67330635
156-study_2-8254,11,11,is there any living organisms on it,1.9676902,A creative research question for a new planet outside of our galaxy is is there any living organisms on it,0.35092863
22-study_1-804,5,5,aeration,3.7190795,A creative hypothesis for why there are massive holds in a field is aeration,0.66328096
92453-study_3-4573,0,0,Say trigger words that may make the bird act on impulse,3.0945525,A creative experiment for testing bird's understanding of human speech is say trigger words that may make the bird act on impulse,0.55189943
39-study_1-1443,4,4,"create a survey that has questions related to friendliness, give it to multiple schools, including your own, and compare the results",2.081476,"A creative experiment for testing friendliness at different schools is create a survey that has questions related to friendliness, give it to multiple schools, including your own, and compare the results",0.3712218
119-study_4-18645,7,7,What's the landscape like?,2.4761298,A creative research question for a jungle containing no human life is what's the landscape like?,0.44160655
60-study_1-2291,1,1,are they able to learn speaking or is it too late in their lives?,3.929606,A creative research question for a remote island with nonverbal communication is are they able to learn speaking or is it too late in their lives?,0.7008274
84-study_4-17748,11,11,What types of plants are here if there are any?,2.3143444,A creative research question for a new planet outside of our galaxy is what types of plants are here if there are any?,0.41275284
43-study_1-1617,0,0,you could create different surprising events that would get the bird's attention and record their reactions,2.5893493,A creative experiment for testing bird's understanding of human speech is you could create different surprising events that would get the bird's attention and record their reactions,0.46179873
14-study_4-15811,11,11,Are there are life sources on this planet we could communicate with?,4.240021,A creative research question for a new planet outside of our galaxy is are there are life sources on this planet we could communicate with?,0.7561886
40-study_1-1499,5,5,the holes could be a product of some type of fertilizer used,3.1716404,A creative hypothesis for why there are massive holds in a field is the holes could be a product of some type of fertilizer used,0.5656477
127-study_2-7804,0,0,place two birds together and listen to the things they talk about with each other,2.2444065,A creative experiment for testing bird's understanding of human speech is place two birds together and listen to the things they talk about with each other,0.4002797
45-study_4-16678,11,11,Is travel between,3.5610728,A creative research question for a new planet outside of our galaxy is is travel between,0.6351012
93803-study_3-676,1,1,How complex is their form of communication,3.3532417,A creative research question for a remote island with nonverbal communication is how complex is their form of communication,0.59803545
93309-study_3-2611,13,13,this school has minimal rules and consequences about singing in the hallways,2.1917717,A creative hypothesis for why students sing in hallways at a new school is this school has minimal rules and consequences about singing in the hallways,0.39089257
39-study_1-1441,3,3,"have three different flowers, one just give water and sunlight, but give the second one fertilizer",2.5893493,"A creative experiment for testing effects of water and sunlight on flower growth is have three different flowers, one just give water and sunlight, but give the second one fertilizer",0.46179873
31-study_1-1127,13,13,maybe you attend east high,3.0481224,A creative hypothesis for why students sing in hallways at a new school is maybe you attend east high,0.5436188
29-study_4-16198,7,7,Is it possible to live in this new jungle?,2.3143444,A creative research question for a jungle containing no human life is is it possible to live in this new jungle?,0.41275284
132-study_1-5105,13,13,is the drama program better here?,2.471492,A creative hypothesis for why students sing in hallways at a new school is is the drama program better here?,0.44077945
94907-study_3-1316,11,11,Is the enviroment similar to the Earth,3.2189233,A creative research question for a new planet outside of our galaxy is is the enviroment similar to the earth,0.5740804
90829-study_3-1200,11,11,How advanced is it technologically,3.6073732,A creative research question for a new planet outside of our galaxy is how advanced is it technologically,0.64335865
22-study_1-820,12,12,can robots have morals,4.0830617,A creative research question for a robot that can learn and think like humans is can robots have morals,0.72819555
92403-study_3-5638,4,4,place a donation box somewhere in the school,3.667153,A creative experiment for testing friendliness at different schools is place a donation box somewhere in the school,0.65402013
93505-study_3-6149,9,9,"I would have participants do a word association test, and i would have my cousin read their minds without them knowing. I would compare their answers to the answers of the cousin. i know this raises ethical concerns, though.",3.4352124,"A creative experiment for testing mind-reading abilities is i would have participants do a word association test, and i would have my cousin read their minds without them knowing. i would compare their answers to the answers of the cousin. i know this raises ethical concerns, though.",0.61265457
93387-study_3-2395,13,13,The classes are causing the studends to sing more,3.1552622,A creative hypothesis for why students sing in hallways at a new school is the classes are causing the studends to sing more,0.56272674
19-study_1-690,1,1,do they have music?,5.0982637,A creative research question for a remote island with nonverbal communication is do they have music?,0.9092523
57-study_1-2172,6,6,study an animal and see if they do something that we don't understand,0.8153862,A creative experiment for testing if animals have a sense of humor is study an animal and see if they do something that we don't understand,0.14542043
93992-study_3-325,10,10,What geological structures are found down here,4.015496,A creative research question for an unexplored part of the ocean floor is what geological structures are found down here,0.71614546
143-study_1-5536,6,6,by laughing at an animal and see if it has a reaction,3.514393,A creative experiment for testing if animals have a sense of humor is by laughing at an animal and see if it has a reaction,0.6267761
41-study_1-1557,1,1,why has a verbal language not been adopted?,2.0961084,A creative research question for a remote island with nonverbal communication is why has a verbal language not been adopted?,0.37383145
94049-study_3-3730,2,2,your one friend is very nice to dogs because they have dogs,2.521441,A creative hypothesis for why dogs like one friend and cats like another is your one friend is very nice to dogs because they have dogs,0.44968757
91652-study_3-5451,4,4,find a database that breaks down the level of friendliness of students at other schools compared to mines,3.039429,A creative experiment for testing friendliness at different schools is find a database that breaks down the level of friendliness of students at other schools compared to mines,0.54206836
12-study_4-15756,7,7,Is there food and water in the jungle?,1.3810165,A creative research question for a jungle containing no human life is is there food and water in the jungle?,0.24629804
93811-study_3-3052,14,14,the stars could be losing their glow due to losses in gasses,3.1010604,A creative hypothesis for why stars disappear from the sky is the stars could be losing their glow due to losses in gasses,0.55306005
39-study_1-1451,9,9,ask them to read your mind at some point in the day when you are not expecting it and see if they were correct,2.081476,A creative experiment for testing mind-reading abilities is ask them to read your mind at some point in the day when you are not expecting it and see if they were correct,0.3712218
93803-study_3-373,10,10,What is the pressue like at the deepest part of the ocean,2.4826245,A creative research question for an unexplored part of the ocean floor is what is the pressue like at the deepest part of the ocean,0.44276485
20-study_1-736,7,7,are there animals here,1.8316685,A creative research question for a jungle containing no human life is are there animals here,0.32666978
93424-study_3-12,10,10,Are there any living organisms,1.180287,A creative research question for an unexplored part of the ocean floor is are there any living organisms,0.21049882
58-study_1-2210,4,4,random sample of students,1.5003335,A creative experiment for testing friendliness at different schools is random sample of students,0.26757768
94907-study_3-4328,0,0,"Create two situations, for the first one, speak threatening words to birds. And simply chat around on the second situation, then observe their reaction to human languages.",3.660879,"A creative experiment for testing bird's understanding of human speech is create two situations, for the first one, speak threatening words to birds. and simply chat around on the second situation, then observe their reaction to human languages.",0.6529012
93505-study_3-323,10,10,what evolutionary changes were necessary for certain species to live in this environment,3.8052993,A creative research question for an unexplored part of the ocean floor is what evolutionary changes were necessary for certain species to live in this environment,0.6786579
91652-study_3-475,10,10,what plant species live here,1.723147,A creative research question for an unexplored part of the ocean floor is what plant species live here,0.30731547
44-study_1-1674,5,5,if groundhogs decided to move out of the ground then there will be hundreds of large holes in a massive field.,3.1383855,A creative hypothesis for why there are massive holds in a field is if groundhogs decided to move out of the ground then there will be hundreds of large holes in a massive field.,0.5597168
94314-study_3-4890,6,6,Have a group of humans together in the same environment and see how they react to different humorous events,2.0298264,A creative experiment for testing if animals have a sense of humor is have a group of humans together in the same environment and see how they react to different humorous events,0.36201036
60-study_4-17070,7,7,How many people know about this jungle?,1.6946622,A creative research question for a jungle containing no human life is how many people know about this jungle?,0.30223534
88-study_1-3352,12,12,could it take over humans?,2.7612844,A creative research question for a robot that can learn and think like humans is could it take over humans?,0.49246258
90600-study_3-6259,9,9,tell the cousin to suprise them at a random time,2.30077,A creative experiment for testing mind-reading abilities is tell the cousin to suprise them at a random time,0.41033193
16-study_4-15851,11,11,How far is this planet from Earth?,2.708099,A creative research question for a new planet outside of our galaxy is how far is this planet from earth?,0.48297718
90829-study_3-2159,13,13,Happier students sing more,2.1917717,A creative hypothesis for why students sing in hallways at a new school is happier students sing more,0.39089257
96-study_4-18062,11,11,Is the planet dangerous?,2.3143444,A creative research question for a new planet outside of our galaxy is is the planet dangerous?,0.41275284
90665-study_3-3874,8,8,is there creatures in the water that inhabit it that have to do with it,1.7296747,A creative hypothesis for why water is warmer in one lake than another is is there creatures in the water that inhabit it that have to do with it,0.30847967
93411-study_3-5397,4,4,Compare the experiences of students at different schools to determine if they perceive their peers as friendly,3.2622929,A creative experiment for testing friendliness at different schools is compare the experiences of students at different schools to determine if they perceive their peers as friendly,0.5818152
94848-study_3-5226,6,6,they love to mingle and enjoy something together,1.3598043,A creative experiment for testing if animals have a sense of humor is they love to mingle and enjoy something together,0.24251492
114-study_4-18526,7,7,how is energy taken,3.6655862,A creative research question for a jungle containing no human life is how is energy taken,0.6537407
134-study_1-5191,7,7,how do we ensure that this jungle habitat remains untainted by humans?,4.088019,A creative research question for a jungle containing no human life is how do we ensure that this jungle habitat remains untainted by humans?,0.7290796
26-study_2-6283,11,11,what is on the planet?,1.4124805,A creative research question for a new planet outside of our galaxy is what is on the planet?,0.2519095
66-study_1-2542,1,1,"are these people physically unable to speak, and if so, what is causing this genetic abnormality?",3.778502,"A creative research question for a remote island with nonverbal communication is are these people physically unable to speak, and if so, what is causing this genetic abnormality?",0.6738787
62-study_1-2352,3,3,use different amount of fertilizer to two different flower and use the same amount of water and sunlight. then compare how different they are,3.09389,A creative experiment for testing effects of water and sunlight on flower growth is use different amount of fertilizer to two different flower and use the same amount of water and sunlight. then compare how different they are,0.55178124
179-study_2-8611,9,9,have your cousin choose anytime of the day to read your mind and at the end of the day have he or she say what you were thinking about at the time they read your mind,3.1750252,A creative experiment for testing mind-reading abilities is have your cousin choose anytime of the day to read your mind and at the end of the day have he or she say what you were thinking about at the time they read your mind,0.56625134
114-study_2-7618,9,9,ask your cousin to do it on you at a random time,2.7917216,A creative experiment for testing mind-reading abilities is ask your cousin to do it on you at a random time,0.4978909
113-study_1-4309,9,9,"tell your mom your cousin is going to be reading her mind, then have her think of a word and have your cousin try to guess it",2.5893493,"A creative experiment for testing mind-reading abilities is tell your mom your cousin is going to be reading her mind, then have her think of a word and have your cousin try to guess it",0.46179873
93476-study_3-1104,11,11,are there similarities to earth,3.1908524,A creative research question for a new planet outside of our galaxy is are there similarities to earth,0.5690741
91435-study_3-4211,8,8,there is a volcano under one lake,2.7173057,A creative hypothesis for why water is warmer in one lake than another is there is a volcano under one lake,0.48461917
94089-study_3-1698,7,7,How did the jungle come to be,1.7870826,A creative research question for a jungle containing no human life is how did the jungle come to be,0.31871808
93946-study_3-5022,6,6,Observe humans and animals over a period of time and see if the humans understand what the animals find funny,2.0298264,A creative experiment for testing if animals have a sense of humor is observe humans and animals over a period of time and see if the humans understand what the animals find funny,0.36201036
89-study_2-7264,10,10,how does it compare to other deep sea regions,2.6863708,A creative research question for an unexplored part of the ocean floor is how does it compare to other deep sea regions,0.47910208
93996-study_3-3091,14,14,the visibility might be  less because,2.5254822,A creative hypothesis for why stars disappear from the sky is the visibility might be  less because,0.4504083
77-study_1-2975,7,7,what type of life exist here,1.5386467,A creative research question for a jungle containing no human life is what type of life exist here,0.27441067
134-study_1-5178,5,5,the holes may be used to store things underground for long periods of time,3.1383855,A creative hypothesis for why there are massive holds in a field is the holes may be used to store things underground for long periods of time,0.5597168
115-study_1-4401,2,2,the smell of the person may fend off cats more easily,2.3492498,A creative hypothesis for why dogs like one friend and cats like another is the smell of the person may fend off cats more easily,0.4189781
50-study_2-6651,4,4,with other's opinions,2.31813,A creative experiment for testing friendliness at different schools is with other's opinions,0.41342798
dupe_average,14,14,the stars are burning out,2.3721023,A creative hypothesis for why stars disappear from the sky is the stars are burning out,0.42305368
118-study_4-18624,11,11,Are there any signs of civilization on par or superior than our own?,3.0595324,A creative research question for a new planet outside of our galaxy is are there any signs of civilization on par or superior than our own?,0.54565376
91732-study_3-5366,4,4,Ask ten people to borrow something from your school and another,2.480693,A creative experiment for testing friendliness at different schools is ask ten people to borrow something from your school and another,0.4424204
93946-study_3-723,1,1,How do other animals and organisms react to this form of communication,4.071665,A creative research question for a remote island with nonverbal communication is how do other animals and organisms react to this form of communication,0.72616297
48-study_4-16746,11,11,Are other planets in the galaxy similar to this planet?,3.197477,A creative research question for a new planet outside of our galaxy is are other planets in the galaxy similar to this planet?,0.5702556
101-study_4-18195,11,11,Do I need to get any thing from new p,2.2331517,A creative research question for a new planet outside of our galaxy is do i need to get any thing from new p,0.39827248
dupe_average,14,14,idk,1.6024015,A creative hypothesis for why stars disappear from the sky is idk,0.28578103
93834-study_3-236,10,10,Is there another world on the ocean floor,2.9144175,A creative research question for an unexplored part of the ocean floor is is there another world on the ocean floor,0.5197731
13-study_2-6076,7,7,what are the plants like,1.9676902,A creative research question for a jungle containing no human life is what are the plants like,0.35092863
125-study_1-4846,12,12,"why can the robot learn so fast, but it takes more time for humans?",2.9535112,"A creative research question for a robot that can learn and think like humans is why can the robot learn so fast, but it takes more time for humans?",0.5267454
124-study_1-4804,12,12,how will this robot impact our lives?,2.539799,A creative research question for a robot that can learn and think like humans is how will this robot impact our lives?,0.45296162
dupe_average,13,13,it is a music school,1.8640614,A creative hypothesis for why students sing in hallways at a new school is it is a music school,0.3324469
94100-study_3-1748,7,7,How healthy is this jungle's ecosystem,3.5980287,A creative research question for a jungle containing no human life is how healthy is this jungle's ecosystem,0.6416921
101-study_1-3810,4,4,ask people who have attended your school and a different school previously,2.081476,A creative experiment for testing friendliness at different schools is ask people who have attended your school and a different school previously,0.3712218
39-study_1-1468,1,1,how does this compare to people who speak a language?,3.2623615,A creative research question for a remote island with nonverbal communication is how does this compare to people who speak a language?,0.5818274
94511-study_3-2877,14,14,or i may be witnessing a meteor shower as the stars look like they are falling out of the sky,3.6329079,A creative hypothesis for why stars disappear from the sky is or i may be witnessing a meteor shower as the stars look like they are falling out of the sky,0.6479127
93953-study_3-5080,6,6,Put two animals in a room and try to see what triggers this so called sense of humor and then test it between different spieces,3.6073732,A creative experiment for testing if animals have a sense of humor is put two animals in a room and try to see what triggers this so called sense of humor and then test it between different spieces,0.64335865
109-study_4-18387,7,7,Why has this jungle never been discovered before?,2.3143444,A creative research question for a jungle containing no human life is why has this jungle never been discovered before?,0.41275284
91648-study_3-3140,14,14,there is fog in the air,2.3949544,A creative hypothesis for why stars disappear from the sky is there is fog in the air,0.42712927
91252-study_3-4726,0,0,we could do a longitudal study of parrots and how they communicate with pet owners,4.126109,A creative experiment for testing bird's understanding of human speech is we could do a longitudal study of parrots and how they communicate with pet owners,0.73587286
92272-study_3-1020,1,1,Where is the island located,2.724469,A creative research question for a remote island with nonverbal communication is where is the island located,0.4858967
139-study_1-5402,11,11,are there other species on this planet already?,1.8217373,A creative research question for a new planet outside of our galaxy is are there other species on this planet already?,0.3248986
19-study_2-6158,2,2,"your friend might be drawn more towards dogs than cats, and vice versa.",2.2444065,"A creative hypothesis for why dogs like one friend and cats like another is your friend might be drawn more towards dogs than cats, and vice versa.",0.4002797
93922-study_3-5557,4,4,"I could observe students at my school compared to students at other schools. I would be looking for people being friendly, such as smiling or interacting kindly with other people.",2.480693,"A creative experiment for testing friendliness at different schools is i could observe students at my school compared to students at other schools. i would be looking for people being friendly, such as smiling or interacting kindly with other people.",0.4424204
93865-study_3-4502,0,0,Observe the reaction of birds to humans talking about random things vs talking about bird feed,3.0945525,A creative experiment for testing bird's understanding of human speech is observe the reaction of birds to humans talking about random things vs talking about bird feed,0.55189943
12-study_4-15759,11,11,Are there any harmful creatures on the planet?,3.0595324,A creative research question for a new planet outside of our galaxy is are there any harmful creatures on the planet?,0.54565376
81-study_2-7141,10,10,how many miles below sea level is it?,1.7684907,A creative research question for an unexplored part of the ocean floor is how many miles below sea level is it?,0.3154023
77-study_2-7093,8,8,different sized lakes retain heat from sunlight at different rates. the warmer lake probably has more water,2.995658,A creative hypothesis for why water is warmer in one lake than another is different sized lakes retain heat from sunlight at different rates. the warmer lake probably has more water,0.534262
93896-study_3-4205,8,8,there is a fish that emits heat in the warmer lake,3.0616884,A creative hypothesis for why water is warmer in one lake than another is there is a fish that emits heat in the warmer lake,0.54603827
91652-study_3-5676,4,4,see if some students wanted to volunteer to visit another school to try and make friends with the students in the other schools and ask them what happened during that time,3.2622929,A creative experiment for testing friendliness at different schools is see if some students wanted to volunteer to visit another school to try and make friends with the students in the other schools and ask them what happened during that time,0.5818152
94116-study_3-6251,9,9,"tell my cousin to read my friends mind, while i am having a converstion about her dog.",2.30077,"A creative experiment for testing mind-reading abilities is tell my cousin to read my friends mind, while i am having a converstion about her dog.",0.41033193
93992-study_3-5265,6,6,We can test this hypothesis by observing different animals of the same species' reaction to the same human stimuli such has a magic trick at the zoo or a dance in front of the subjects and observe how their reactions vary.,2.8060844,A creative experiment for testing if animals have a sense of humor is we can test this hypothesis by observing different animals of the same species' reaction to the same human stimuli such has a magic trick at the zoo or a dance in front of the subjects and observe how their reactions vary.,0.50045246
121-study_1-4649,6,6,"scientifically, one could study brain waves and brain activity.",3.959038,"A creative experiment for testing if animals have a sense of humor is scientifically, one could study brain waves and brain activity.",0.7060765
91832-study_3-2302,13,13,more support from teachers and administration,2.8343742,A creative hypothesis for why students sing in hallways at a new school is more support from teachers and administration,0.5054978
139-study_1-5373,6,6,show animals a series of pictures that humans find funny as well as not funny and see if the animals have a different reaction,2.5893493,A creative experiment for testing if animals have a sense of humor is show animals a series of pictures that humans find funny as well as not funny and see if the animals have a different reaction,0.46179873
93505-study_3-1857,7,7,Is this jungle inhabitable for humans,3.3442123,A creative research question for a jungle containing no human life is is this jungle inhabitable for humans,0.5964251
114-study_4-18521,7,7,"are there aliens that are just not what we would refer to as ""human""",2.7664397,"A creative research question for a jungle containing no human life is are there aliens that are just not what we would refer to as ""human""",0.49338198
